UIC;Nom de la gare;Adresse;CodePostal;Ville;Accessibilité
87111849;Marne-la-Vallée Chessy;Place des Passagers du Vent;77111;Chessy;Assistance proposée pour accéder aux quais et monter / descendre du train
87142109;Lorraine TGV;Route départementale 910;57420;Louvigny;Écrans d'information en gare et/ou sur les quais
87144006;Épinal;place du général De Gaulle;88000;Epinal;Toilettes
87184002;Belfort;8, Avenue Wilson;90000;Belfort;Accès par ascenseur, rampe ou de plain-pied, depuis l'entrée
87191007;Thionville;10 place de la gare;57100;Thionville;Écrans d'information en gare et/ou sur les quais
87193003;Forbach;Place Robert Schuman;57600;Forbach;Bande d'éveil de vigilance sur les quais
87223263;Lille Europe;1, Place François Mitterrand;59777;Euralille;Bande d'éveil de vigilance sur les quais
87276493;Montsoult - Maffliers;Rue Émile Combres;95560;Montsoult;Boucle à induction magnétique
87286542;Tourcoing;11 Rue Pierre Sémard;59200;Tourcoing;Écrans d'information en gare et/ou sur les quais
87296004;Saint-Quentin;Place André Baudez;2100;St Quentin;Écrans d'information en gare et/ou sur les quais
87313049;Longueau;Route de Boves;80330;Longueau;Présence du personnel
87313049;Longueau;Route de Boves;80330;Longueau;Information sonore en gare et/ou sur les quais
87317263;Calais;46 Avenue Wilson;62100;Calais;Assistance proposée pour accéder aux quais et monter / descendre du train
87317586;Boulogne;3 Boulevard Voltaire;62200;Boulogne Sur Mer;Information sonore en gare et/ou sur les quais
87318964;Avignon TGV;Place de l'Europe;84000;Avignon;Information sonore en gare et/ou sur les quais
87319012;Aix-en-Provence TGV;Route Départementale 9;13592;Aix En Provence;Bande d'éveil de vigilance sur les quais
87345009;Douai;Place de la Gare;59500;Douai;Information sonore en gare et/ou sur les quais
87345009;Douai;Place de la Gare;59500;Douai;Fauteuil roulant à disposition
87387001;Évreux Normandie;4 boulevard Gambetta;27000;Evreux;Accès par ascenseur, rampe ou de plain-pied, depuis l'entrée
87387001;Évreux Normandie;4 boulevard Gambetta;27000;Evreux;Présence du personnel
87415604;Vernon-Giverny;Place de la Gare;27200;Vernon;Accès par ascenseur, rampe ou de plain-pied, depuis l'entrée
87415877;Val-de-Reuil;Route des Falaises;27100;Val De Reuil;Toilettes adaptées aux personnes en fauteuil roulant
87444265;Lisieux;Place Pierre Sémard;14100;Lisieux;Présence du personnel
87474338;Morlaix;Place du colonel Rol Tanguy;29600;Morlaix;Fauteuil roulant à disposition
87476200;Auray;Place Raoult Dautry;56400;Auray;Accès par ascenseur, rampe ou de plain-pied, depuis l'entrée
87476606;Vannes;rue Favel et Lincy;56000;Vannes;Accès par ascenseur, rampe ou de plain-pied, depuis l'entrée
87478107;Saint-Malo;Avenue Anita CONTI;35400;Saint-Malo;Présence du personnel
