Id_Gare;Id_equipement;Nom de l'équipement;Position Géographique;Localisation;Etat de fonctionnement
c1ad848f-e403-45b2-bf8d-3948ff48c58a;6a7ff5d1-4475-4aaf-8179-ab534ed502e3;ASC.PMR 3573 Quai G/H;48.9889626, 1.7037522;Voies G et H / passerelle;"{""date"": ""2026-04-27T07:53:00.369"", ""etat"": ""OK""}"
01e5fd69-f87c-4a5c-95c4-7367ed7ff242;ea4d188e-1272-4375-8a40-613f8f7c312e;ASC.PMR 3024 Q.C V2/T2;48.9052257, 2.2681903;Voie 2 / passerelle;"{""date"": ""2026-04-16T16:27:00.153"", ""etat"": ""OK""}"
592e9a77-d5e5-4700-a429-305985cc5892;e3b000bd-4bfb-4445-a509-0ee3908f2023;ASC.PMR 2508 Quai C Voie 15/16;49.0467595, 2.094991;Voies 15 et 16 / souterrain;"{""date"": ""2026-02-25T10:59:00.136"", ""etat"": ""OK""}"
7a4c8971-455e-4d42-a3c7-5d0bd173a409;a7aa877f-0e6d-417e-b94f-23ff085574ce;ASC.PMR 2504 Accès C.Commercial;49.0073579, 2.1971785;Accès centre commercial / souterrain / parvis Montigny esplanade;"{""date"": ""2026-02-16T14:29:00.195"", ""etat"": ""OK""}"
146c8d50-854c-4d28-9e88-fc0d6d6feacb;6589a856-d990-4665-9cef-db69f37f53ba;ASC.PMR 2290 Quai 1(cote BV);49.0493332, 2.5016321;Voie 1 / hall;"{""date"": ""2026-05-03T11:05:00.171"", ""etat"": ""OK""}"
9b163aa6-52ed-472a-bbf7-a4bed0a29e64;ba53a5ff-2f06-4071-8c5f-b25b1302ac7b;ASC. 9205 Voie 1/2;49.0453296, 2.1067354;Voies 1 et 2 / souterrain;"{""date"": ""2026-05-05T08:07:00.23"", ""etat"": ""OK""}"
d72d5d76-9e7b-412c-8adb-f2a2c4788ce1;e2dc82ac-9836-445a-bbea-524e353b56cc;ASC.PMR 3043 Quai Central;49.0365048, 2.0793899;Quai central / hall;"{""date"": ""2026-04-27T06:19:00.143"", ""etat"": ""OK""}"
b86ef9b5-cf80-4bfc-a95a-e7c4e74430cf;6ce3419e-b1ea-482a-9c28-d7305083fcac;ASC.PMR 4508 Quai EF;48.8293987, 2.3775231;Quai E et F / hall;"{""date"": ""2026-05-01T20:03:00.184"", ""etat"": ""OK""}"
c610489b-88bb-4641-8298-b64a9e655737;cb5fb715-77b3-44ff-a1bc-067fa7c53b25;ASC.PMR 1064 S.RV;48.8937489, 2.4796033;Sortie route Villemonble / souterrain;"{""date"": ""2026-05-04T07:47:00.578"", ""etat"": ""OK""}"
098ce999-a235-4be0-b3b8-c43d546379d3;5aa392e1-7229-4671-9ba6-b75c98bf21e9;Ascenseur - Voie B (Quai central);;;"{""date"": ""2026-03-23T08:00:04.811076"", ""etat"": ""INCONNU""}"
bad56e29-6c46-4423-8aaf-8ce2fdfc786e;e39b48f9-63f0-4548-bd7d-54ae8bd93018;ASC.PMR 3086 Quai A;48.8370083, 2.1520171;Voie A / souterrain;"{""date"": ""2026-02-11T15:49:00.175"", ""etat"": ""OK""}"
289f0de7-0afa-4428-9f2f-45db9cb1b0a2;d3816669-1273-4c09-b2fb-280661ea3533;ASC.PMR 2048 Voie 2<>Opposé au BV;48.9970176, 2.2590455;Voie 2<>Opposé au BV;"{""date"": ""2025-03-31T08:47:01.039"", ""etat"": ""OK""}"
