Service attente;Gare;Trigramme
Piano en libre service;La Baule-Escoublac;LBE
Work & Station;Lagny - Thorigny;LGY
Piano en libre service;Toulon;TLN
Work & Station;Montpellier Saint-Roch;MPL
Distributeur d'Histoires Courtes;Aix-en-Provence TGV;AXV
Piano en libre service;Mulhouse;MSE
Rechargement portables et tablettes;Nîmes;NMS
Piano en libre service;Amiens;AMS
Distributeur d'Histoires Courtes;Aéroport Charles de Gaulle 2 TGV;RYT
Piano en libre service;Vichy;VHY
Distributeur d'Histoires Courtes;Champagne-Ardenne TGV;CGV
Distributeur d'Histoires Courtes;Périgueux;PXR
Distributeur d'Histoires Courtes;Dax;DAX
Rechargement portables et tablettes;Gare de Lyon;PLY
Piano en libre service;Gare de Lyon;PLY
Work & Station;La Ferté-Alais;LFA
Rechargement portables et tablettes;Morlaix;MXR
Rechargement portables et tablettes;Charleville-Mézières;CMZ
Rechargement portables et tablettes;Châteauroux;CTX
Work & Station;Ermont - Eaubonne;ERT
Piano en libre service;Montpellier Sud de France;MSF
Distributeur d'Histoires Courtes;Lourdes;LDS
Rechargement portables et tablettes;Sète;STE
Work & Station;Sète;STE
Rechargement portables et tablettes;Sévérac-le-Château;SVC
Distributeur d'Histoires Courtes;Angers Saint-Laud;ASL
Piano en libre service;Arras;ARR
Work & Station;Porte de Clichy;PCL
Work & Station;Viroflay Rive Gauche;VFG
Work & Station;Vaires - Torcy;VAI
Work & Station;Avenue Henri Martin;AHM
Work & Station;Épinay-sur-Seine;EYS
Work & Station;Garches - Marnes-la-Coquette;GMC
Work & Station;Groslay;GNX
Piano en libre service;Lille Europe;LEW
Work & Station;Nanteuil - Saâcy;NAU
Work & Station;Rambouillet;RBT
Piano en libre service;Strasbourg;STG
Work & Station;Asnières-sur-Seine;AEE
Work & Station;Gagny;GNQ
Work & Station;Le Bourget;LBT
Piano en libre service;Grenoble;GRE
Rechargement portables et tablettes;Béziers;BZS
Piano en libre service;Thionville;THL
Work & Station;Sevran - Livry;SEV
Piano en libre service;Marseille Saint-Charles;MSC
Rechargement portables et tablettes;Narbonne;NBN
Distributeur d'Histoires Courtes;Les Arcs - Draguignan;LAC
Piano en libre service;Bécon les Bruyères;BEC
Distributeur d'Histoires Courtes;Avignon TGV;AVV
Piano en libre service;Montpellier Saint-Roch;MPL
Baby-foot;Besançon Franche-Comté TGV;BFC
Piano en libre service;Nîmes;NMS
Rechargement portables et tablettes;Aéroport Charles de Gaulle 2 TGV;RYT
Baby-foot;Évreux Normandie;EVX
Work & Station;La Celle-Saint-Cloud;LCB
Piano en libre service;Champagne-Ardenne TGV;CGV
Work & Station;Rosa Parks;ROK
Piano en libre service;Trouville - Deauville;TDE
Distributeur d'Histoires Courtes;Gare de Lyon;PLY
Piano en libre service;Bordeaux Saint-Jean;BXJ
Piano en libre service;Caen;CAE
Rechargement portables et tablettes;Laval;LAL
Distributeur d'Histoires Courtes;Chelles - Gournay;CSG
Rechargement portables et tablettes;Bourges;BGS
Work & Station;Albert;ALJ
Rechargement portables et tablettes;Castelnaudary;CTY
Rechargement portables et tablettes;La Bastide - Saint-Laurent-les-Bains;LBS
Distributeur d'Histoires Courtes;Marcheprime;MCP
Work & Station;Invalides;INV
Rechargement portables et tablettes;Invalides;INV
Work & Station;Villiers-sur-Marne - Le Plessis-Trévise;VSM
Work & Station;Grigny Centre;GGG
Work & Station;Goussainville;GOU
Work & Station;Bois-Colombes;BCO
Work & Station;Montgeron - Crosne;KRW
Work & Station;Étampes;ETP
Work & Station;Rungis la Fraternelle;RFL
Work & Station;Coulommiers;CQU
Work & Station;Épinay-sur-Orge;EYO
Work & Station;La Ferté-sous-Jouarre;LFJ
Work & Station;Marly-le-Roi;MLR
Work & Station;Meudon;MDN
Work & Station;Savigny-le-Temple - Nandy;ZTN
Rechargement portables et tablettes;Toulon Sainte-Musse;TSM
Work & Station;Perpignan;PPN
Baby-foot;Calais - Fréthun;FHS
Distributeur d'Histoires Courtes;Grenoble;GRE
Piano en libre service;Valence TGV Rhône-Alpes Sud;VAL
Work & Station;Crécy-la-Chapelle;CLC
Piano en libre service;Béthune;BET
Rechargement portables et tablettes;Mâcon Loché TGV;MLH
Work & Station;Corbeil-Essonnes;COE
Piano en libre service;Marne-la-Vallée Chessy;MLV
Rechargement portables et tablettes;Saint-Rome-de-Cernon;SDO
Rechargement portables et tablettes;Monaco;MCO
Distributeur d'Histoires Courtes;Brest;BRT
Work & Station;Bécon les Bruyères;BEC
Distributeur d'Histoires Courtes;Mulhouse;MSE
Piano en libre service;Gare Saint-Lazare;PSL
Distributeur d'Histoires Courtes;Gare Saint-Lazare;PSL
Work & Station;Brunoy;BNY
